1	3564
2	1582
3	997
4	710
5	505
6	368
7	345
8	248
9	213
10	180
11	163
12	141
13	127
14	84
15	95
16	83
17	52
18	64
19	57
20	53
21	47
22	36
23	40
24	21
25	31
26	41
27	24
28	23
29	22
30	17
31	20
32	21
33	16
34	10
35	21
36	13
37	15
38	14
39	13
40	11
41	11
42	12
43	10
44	12
45	16
46	6
47	4
48	9
49	10
50	3
51	3
52	5
53	4
54	5
55	6
56	5
57	4
58	3
59	2
60	4
61	6
62	4
63	6
64	6
65	1
66	3
67	3
68	2
69	2
70	4
71	1
72	4
73	2
74	1
76	1
78	1
79	2
82	5
83	1
84	1
85	2
87	3
88	2
90	3
1116	1
94	1
99	2
102	1
103	1
105	1
108	1
109	2
111	1
112	1
115	1
116	2
117	2
121	1
128	1
385	1
135	2
136	1
139	1
157	1
161	1
166	1
682	1
171	1
176	1
706	1
204	1
209	1
236	1
