1	1410
2	597
3	333
4	212
5	134
6	128
7	100
8	84
9	62
10	53
11	49
12	40
13	40
14	37
15	29
16	26
17	33
18	21
19	20
20	18
21	29
22	19
23	16
24	27
25	15
26	9
27	13
28	19
29	5
30	10
31	13
287	1
32	10
33	8
34	10
35	5
36	10
37	6
38	7
39	7
40	6
41	4
42	9
43	7
44	3
45	9
46	4
47	4
48	2
49	4
50	4
51	3
52	4
53	9
54	3
55	3
57	5
58	3
59	4
60	5
61	4
62	3
63	2
64	5
65	1
66	6
67	1
68	1
69	2
70	1
71	2
72	3
73	2
74	2
75	1
76	1
77	1
78	1
79	2
81	2
82	1
83	4
84	2
86	2
87	1
88	2
90	2
92	3
94	2
96	2
97	1
98	1
102	2
103	2
106	2
107	1
111	1
114	1
117	2
119	1
121	2
122	1
123	1
126	2
128	1
129	1
133	1
140	1
142	1
143	2
145	1
170	1
185	1
197	1
210	1
