1	1481
2	548
3	331
4	235
5	192
6	129
7	132
8	96
9	86
10	80
11	70
12	65
13	35
14	62
270	1
15	35
16	35
17	26
18	31
19	29
20	29
21	19
22	26
23	26
24	23
25	16
26	20
27	26
28	19
29	16
30	17
31	12
32	16
33	13
34	16
35	15
36	11
37	10
38	19
39	14
40	14
41	11
42	16
43	10
44	18
45	9
46	9
47	14
48	6
49	9
50	2
51	8
52	9
53	9
54	8
55	6
56	6
57	13
58	6
59	7
60	5
61	6
62	2
63	5
64	7
65	5
66	3
67	4
68	5
69	5
325	1
70	5
71	5
72	4
73	3
74	6
75	6
76	1
77	3
78	7
79	1
80	3
81	1
82	4
83	4
84	4
85	4
86	1
87	2
88	3
89	2
90	4
91	3
92	3
93	1
94	1
95	4
96	1
97	1
98	1
99	6
101	2
102	1
103	3
104	2
105	1
106	2
108	2
110	2
111	1
112	1
113	1
114	1
115	3
116	1
117	1
118	1
119	1
121	1
122	2
123	1
124	1
125	2
126	1
127	2
130	3
131	3
132	1
139	3
141	1
142	1
143	1
145	1
146	1
147	1
151	1
152	1
154	2
160	1
163	1
164	1
169	1
175	1
177	1
178	1
179	1
184	1
206	1
220	1
229	1
230	1
234	1
237	1
