256	1
1	1364
2	513
3	293
4	209
5	137
6	122
7	92
8	77
264	1
9	60
10	63
11	55
12	48
13	39
14	32
15	36
16	30
17	27
273	1
18	23
19	26
20	17
21	25
22	16
23	20
24	18
25	11
26	15
27	18
28	18
29	13
30	12
31	13
32	10
33	13
34	13
35	7
36	7
37	8
38	9
39	6
40	8
41	11
42	2
43	8
44	3
45	11
46	10
47	2
48	3
49	10
50	9
51	10
52	10
53	7
54	9
55	5
56	8
57	4
58	6
59	5
315	1
60	3
61	3
62	4
63	2
64	6
65	2
66	3
67	4
68	2
69	5
70	1
71	3
72	3
73	1
74	3
75	1
77	6
78	5
79	1
80	3
81	2
82	2
83	2
84	5
85	1
86	3
87	2
88	1
89	3
90	1
91	1
92	2
93	2
94	4
95	2
96	4
97	3
98	4
99	1
101	1
102	1
103	1
104	1
105	4
106	1
107	2
109	2
110	5
111	2
112	4
113	3
117	1
118	1
119	3
375	1
121	1
122	2
125	1
127	1
128	1
130	1
132	2
134	2
135	3
136	2
137	1
138	1
142	2
143	3
144	2
145	1
146	2
147	1
149	1
155	1
157	2
162	1
163	2
164	1
165	1
166	1
172	1
176	1
178	2
181	1
182	1
186	1
187	1
188	1
197	1
200	1
202	1
212	1
215	1
231	1
