1	1364
2	672
3	425
4	376
5	315
6	281
7	241
8	229
9	231
10	197
11	199
12	192
13	164
14	168
15	163
16	130
17	151
18	146
19	159
20	139
21	131
22	108
23	122
24	124
25	106
26	119
27	110
28	136
29	115
30	101
31	110
32	100
33	96
34	94
35	85
36	73
37	91
38	104
39	77
40	77
41	61
42	74
43	78
44	79
45	75
46	92
47	69
48	67
49	69
50	67
51	58
52	60
53	52
54	64
55	51
56	51
57	65
58	65
59	54
60	42
61	48
62	48
63	39
64	64
65	46
66	47
67	51
68	40
69	59
70	39
71	53
72	44
73	48
74	54
75	29
76	51
77	51
78	35
79	47
80	36
81	38
82	40
83	43
84	41
85	40
86	40
87	32
88	44
89	42
90	36
91	38
92	40
93	39
94	35
95	36
96	46
97	35
98	41
99	33
100	32
101	36
102	36
103	26
104	36
105	46
106	32
107	35
108	27
109	31
110	29
111	28
112	33
4208	1
113	30
114	24
115	25
116	30
117	34
118	26
119	29
120	38
121	32
122	19
123	32
124	35
125	40
126	24
127	25
128	25
129	22
130	24
131	24
132	22
133	27
134	24
135	28
136	25
137	14
138	22
139	24
140	20
141	18
142	21
143	19
144	28
145	24
146	16
147	22
148	14
149	18
150	25
151	19
152	14
153	19
154	15
155	25
156	26
157	21
158	15
159	26
160	23
161	20
162	20
163	20
164	21
165	12
166	22
167	18
168	14
169	24
170	18
171	9
172	15
173	17
174	16
175	17
176	13
177	23
178	12
179	26
180	25
181	14
182	23
183	25
184	11
185	13
186	14
187	15
188	13
189	13
190	18
191	14
192	10
193	18
194	14
195	21
196	18
197	14
198	14
199	12
200	15
201	16
202	14
203	10
204	8
205	20
206	6
207	12
208	11
209	11
210	15
211	10
212	14
213	18
214	10
215	13
216	15
217	12
218	16
219	9
220	11
221	15
222	10
223	14
224	15
225	13
226	10
227	16
228	13
229	13
230	10
231	10
232	16
233	19
234	9
235	11
236	9
237	10
238	6
239	9
240	7
241	10
242	7
243	21
244	15
245	17
246	7
247	12
248	12
249	13
250	13
251	13
252	12
253	11
254	11
255	8
256	12
257	8
258	17
259	12
260	10
261	11
262	14
263	9
264	6
265	8
266	15
267	13
268	14
269	10
270	11
271	12
272	7
273	8
274	6
275	10
276	13
277	9
278	8
279	11
280	7
281	10
282	5
283	15
284	5
285	5
286	5
287	11
288	11
289	9
290	7
291	10
292	7
293	7
294	6
295	11
296	14
297	12
298	9
299	7
300	15
301	6
302	10
303	7
304	7
305	6
306	4
307	3
308	12
309	10
310	7
311	9
312	12
313	6
314	10
315	9
316	2
317	7
318	7
319	10
320	4
321	8
322	10
323	7
324	3
325	5
326	10
327	6
328	11
329	2
330	7
331	6
332	5
333	5
334	4
335	8
336	9
337	9
338	8
339	12
340	8
341	10
342	3
343	8
344	5
345	6
346	2
347	6
348	10
349	3
350	6
351	10
352	9
353	2
354	2
355	7
356	5
357	7
358	3
359	7
360	5
361	1
362	8
363	5
364	9
365	9
366	5
367	7
368	6
369	7
370	8
371	8
372	5
373	6
374	5
375	3
376	7
377	6
378	4
379	2
380	3
381	6
382	6
383	8
384	4
385	7
386	9
387	5
388	7
389	3
390	4
391	6
392	9
393	3
394	5
395	6
396	2
397	3
398	6
399	6
400	4
401	4
402	10
403	1
404	5
405	3
406	5
407	3
408	1
409	3
410	5
411	5
412	6
413	4
414	5
415	2
416	3
418	3
419	8
420	2
421	7
422	3
423	8
424	4
425	7
426	4
427	8
428	2
429	6
430	6
431	3
432	2
433	4
434	4
435	7
436	5
437	5
438	3
439	8
440	2
441	5
442	6
443	3
444	3
445	2
446	4
447	2
448	2
449	5
450	5
451	3
452	5
453	3
454	6
455	3
456	3
457	2
458	1
459	3
460	2
461	6
462	5
463	3
464	4
465	5
466	2
467	4
468	3
469	5
470	5
472	4
473	7
474	5
475	3
476	2
477	3
478	2
479	4
480	3
481	7
482	1
483	1
484	4
485	1
486	3
487	5
488	8
489	1
490	3
491	4
492	3
493	3
494	1
495	3
496	2
497	6
498	3
499	5
500	1
501	1
502	1
503	4
504	4
505	2
506	3
507	1
508	3
509	4
510	2
511	1
512	1
513	6
514	7
515	4
516	2
517	1
518	1
519	5
520	1
521	2
522	1
523	2
524	2
525	2
526	7
527	3
528	1
529	6
530	5
531	5
532	2
533	1
534	3
535	2
536	1
537	1
538	3
539	4
540	4
541	3
542	2
543	5
544	3
545	1
547	4
548	2
549	4
550	6
551	4
552	2
553	5
554	3
555	2
556	1
557	3
558	2
559	2
560	1
561	2
563	2
564	4
565	2
566	1
567	2
568	2
569	1
570	5
571	3
572	2
573	4
574	3
575	3
576	1
577	3
578	2
581	1
582	1
583	3
584	2
585	4
586	1
587	2
588	2
590	2
593	3
594	4
595	5
596	1
597	3
598	5
599	1
600	5
601	1
602	4
603	2
604	2
605	1
606	4
608	3
609	2
610	3
613	1
614	2
615	2
616	5
617	1
618	3
619	4
620	1
621	2
622	1
623	2
625	4
626	2
627	1
628	2
630	2
631	4
632	3
633	2
634	1
635	1
636	2
637	2
638	1
639	2
640	1
641	1
642	2
643	2
644	1
645	1
646	3
647	1
648	2
650	2
651	2
652	2
653	3
654	2
655	3
656	3
657	1
658	2
659	1
660	2
662	1
663	2
664	2
665	1
666	2
667	2
669	2
670	2
671	1
672	1
674	4
676	1
677	2
678	2
679	3
681	1
685	2
686	3
688	3
689	2
690	3
691	1
693	2
695	1
701	1
702	1
703	1
704	3
705	1
706	1
707	3
708	2
709	2
710	2
711	1
713	1
715	1
717	1
718	2
719	2
720	1
721	1
722	1
724	2
725	4
726	1
730	1
731	1
732	1
