			Number of Nodes 	Number of edges 	Network Density
adipose_tissue.gz	13572			332550		0.0036
adrenal_cortex.gz	13340			180887		0.0020
adrenal_gland.gz	3578			9345		0.0015
all_tissues.gz	12687			531684		0.0066
amygdala.gz	3563			11215		0.0018
aorta.gz	17387			1394062		0.0092
artery.gz	8245			124527		0.0037
astrocyte.gz	19932			13855081		0.0698
b_lymphocyte.gz	7523			184621		0.0065
basal_ganglion.gz	2473			3713		0.0012
basophil.gz	20697			35322894		0.1649
blood.gz	7143			214737		0.0084
blood_plasma.gz	5425			79511		0.0054
blood_platelet.gz	7132			169464		0.0067
blood_vessel.gz	5968			143311		0.0080
bone.gz	7918			218298		0.0070
bone_marrow.gz	4902			67650		0.0056
brain.gz	4465			52162		0.0052
bronchial_epithelial_cell.gz	16854			1192458		0.0084
bronchus.gz	15170			739409		0.0064
cardiac_muscle.gz	12351			569955		0.0075
cartilage.gz	11858			216037		0.0031
caudate_nucleus.gz	3866			15187		0.0020
caudate_putamen.gz	13395			139333		0.0016
cecum.gz	18672			5795075		0.0332
central_nervous_system.gz	4525			56951		0.0056
cerebellar_cortex.gz	16292			938659		0.0071
cerebellum.gz	2060			3755		0.0018
cerebral_cortex.gz	1994			3395		0.0017
chondrocyte.gz	15687			935964		0.0076
choroid.gz	19300			3088307		0.0166
cochlea.gz	21142			95996958		0.4296
colon.gz	3914			30198		0.0039
cornea.gz	10262			331413		0.0063
corpus_callosum.gz	4894			28769		0.0024
corpus_luteum.gz	17764			1790041		0.0113
corpus_striatum.gz	3324			7369		0.0013
culture_condition_cd8_cell.gz	20097			14298388		0.0708
dendritic_cell.gz	17290			3502430		0.0234
dentate_gyrus.gz	17224			1567436		0.0106
diencephalon.gz	4283			10396		0.0011
duodenum.gz	15170			375486		0.0033
ear.gz	20329			25394636		0.1229
embryo.gz	4429			48088		0.0049
eosinophil.gz	12512			657611		0.0084
epidermis.gz	5318			59936		0.0042
esophagus.gz	13920			184661		0.0019
eye.gz	2803			16385		0.0042
fetus.gz	3853			45702		0.0062
forebrain.gz	1857			2984		0.0017
frontal_lobe.gz	9848			42839		0.0009
gastrointestinal_tract.gz	3659			29260		0.0044
glia.gz	18569			6423137		0.0373
granulocyte.gz	7232			190228		0.0073
hair_follicle.gz	10090			229599		0.0045
heart.gz	3856			30547		0.0041
hepatocyte.gz	20452			4595894		0.0220
hippocampus.gz	3246			8845		0.0017
hypophysis.gz	10321			61802		0.0012
hypothalamus.gz	19402			2999797		0.0159
ileum.gz	18284			7499035		0.0449
intestine.gz	3637			30684		0.0046
jejunum.gz	18755			14822577		0.0843
keratinocyte.gz	8874			86938		0.0022
kidney.gz	4207			40156		0.0045
large_intestine.gz	3897			23601		0.0031
lens.gz	20200			19805543		0.0971
leukocyte.gz	7101			240527		0.0095
liver.gz	3576			34806		0.0054
locus_ceruleus.gz	20998			43287677		0.1964
lung.gz	4533			51687		0.0050
lymph_node.gz	4848			34705		0.0030
lymphocyte.gz	7182			180729		0.0070
macrophage.gz	7367			172117		0.0063
mammary_epithelium.gz	16457			819076		0.0060
mammary_gland.gz	5367			75276		0.0052
mast_cell.gz	17498			1257566		0.0082
medulla_oblongata.gz	15292			1003371		0.0086
megakaryocyte.gz	6874			141907		0.0060
midbrain.gz	3814			9481		0.0013
monocyte.gz	6862			188016		0.0080
mononuclear_phagocyte.gz	6771			180222		0.0079
muscle.gz	4834			20854		0.0018
myometrium.gz	16178			1056256		0.0081
natural_killer_cell.gz	18810			4284799		0.0242
nephron.gz	6548			60755		0.0028
nervous_system.gz	4771			63456		0.0056
neuron.gz	17085			661948		0.0045
neutrophil.gz	7703			169795		0.0057
nucleus_accumbens.gz	18656			1705049		0.0098
occipital_lobe.gz	12911			182561		0.0022
occipital_pole.gz	19315			9135221		0.0490
osteoblast.gz	12515			607886		0.0078
ovarian_follicle.gz	16317			1093533		0.0082
ovary.gz	4650			55828		0.0052
oviduct.gz	14764			287238		0.0026
pancreas.gz	3480			19686		0.0033
pancreatic_islet.gz	16551			471250		0.0034
parietal_lobe.gz	20687			44935547		0.2100
peripheral_nervous_system.gz	16684			812048		0.0058
placenta.gz	4490			72419		0.0072
podocyte.gz	20467			18802502		0.0898
pons.gz	20743			31817228		0.1479
prostate_gland.gz	4267			26906		0.0030
renal_glomerulus.gz	9352			123096		0.0028
renal_tubule.gz	14556			463173		0.0044
retina.gz	4754			11365		0.0010
salivary_gland.gz	7299			55964		0.0021
serum.gz	5014			24597		0.0020
skeletal_muscle.gz	3245			14698		0.0028
skin.gz	4287			49956		0.0054
skin_fibroblast.gz	11151			171663		0.0028
small_intestine.gz	2528			14111		0.0044
smooth_muscle.gz	9322			216693		0.0050
spermatid.gz	17679			1252420		0.0080
spermatocyte.gz	18095			2719764		0.0166
spermatogonium.gz	18111			2728951		0.0166
spinal_cord.gz	1996			3199		0.0016
spleen.gz	4565			46380		0.0045
stomach.gz	3229			10381		0.0020
substantia_nigra.gz	3732			10043		0.0014
subthalamic_nucleus.gz	5204			45269		0.0033
t_lymphocyte.gz	6848			131440		0.0056
tear_gland.gz	12086			141873		0.0019
telencephalon.gz	2051			3608		0.0017
temporal_lobe.gz	2665			4971		0.0014
testis.gz	4703			55570		0.0050
thalamus.gz	5157			24271		0.0018
thymocyte.gz	13233			431689		0.0049
thyroid_gland.gz	5086			29034		0.0022
tonsil.gz	16407			523481		0.0039
tooth.gz	15250			563298		0.0048
trachea.gz	10556			146723		0.0026
trophoblast.gz	12800			498051		0.0061
umbilical_cord.gz	7185			149241		0.0058
umbilical_vein_endothelial_cell.gz	8976			291485		0.0072
urinary_bladder.gz	19722			4906704		0.0252
uroepithelium.gz	17286			487361		0.0033
uterine_cervix.gz	12144			163928		0.0022
uterine_endometrium.gz	8261			223521		0.0066
uterus.gz	4496			58284		0.0058
vascular_endothelial_cell.gz	7458			188750		0.0068
vascular_endothelium.gz	7006			190841		0.0078
vermiform_appendix.gz	18959			7631584		0.0425
