			Number of Nodes 	Number of edges 	Network Density
adipose_tissue.gz	25825			98055536		0.2941
adrenal_cortex.gz	25825			83589859		0.2507
adrenal_gland.gz	25825			107904188		0.3236
all_tissues.gz	25825			72382743		0.2171
amygdala.gz	25825			94800995		0.2843
aorta.gz	25825			187636499		0.5627
artery.gz	25825			84651994		0.2539
astrocyte.gz	25825			223243721		0.6695
b_lymphocyte.gz	25825			66637557		0.1998
basal_ganglion.gz	25825			96106317		0.2882
basophil.gz	25825			245398242		0.7359
blood.gz	25825			68093299		0.2042
blood_plasma.gz	25825			83712200		0.2510
blood_platelet.gz	25825			64318536		0.1929
blood_vessel.gz	25825			70245633		0.2107
bone.gz	25825			69303762		0.2078
bone_marrow.gz	25825			61853217		0.1855
brain.gz	25825			75163200		0.2254
bronchial_epithelial_cell.gz	25825			90722030		0.2721
bronchus.gz	25825			84507872		0.2534
cardiac_muscle.gz	25825			81112051		0.2432
cartilage.gz	25825			100478326		0.3013
caudate_nucleus.gz	25825			98650972		0.2958
caudate_putamen.gz	25825			194006473		0.5818
cecum.gz	25825			200136477		0.6002
central_nervous_system.gz	25825			74670538		0.2239
cerebellar_cortex.gz	25825			102032950		0.3060
cerebellum.gz	25825			77435923		0.2322
cerebral_cortex.gz	25825			90101225		0.2702
chondrocyte.gz	25825			99843996		0.2994
choroid.gz	25825			124756938		0.3741
cochlea.gz	25825			282979417		0.8486
colon.gz	25825			65274755		0.1958
cornea.gz	25825			67773133		0.2032
corpus_callosum.gz	25825			86968256		0.2608
corpus_luteum.gz	25825			103038124		0.3090
corpus_striatum.gz	25825			95745975		0.2871
culture_condition_cd8_cell.gz	25825			234472875		0.7032
dendritic_cell.gz	25825			216616719		0.6496
dentate_gyrus.gz	25825			92402515		0.2771
diencephalon.gz	25825			127420951		0.3821
duodenum.gz	25825			91260541		0.2737
ear.gz	25825			247938685		0.7436
embryo.gz	25825			76382936		0.2291
eosinophil.gz	25825			82497384		0.2474
epidermis.gz	25825			82897161		0.2486
esophagus.gz	25825			120463564		0.3613
eye.gz	25825			86544179		0.2595
fetus.gz	25825			64356951		0.1930
forebrain.gz	25825			92926519		0.2787
frontal_lobe.gz	25825			164132590		0.4922
gastrointestinal_tract.gz	25825			65408237		0.1962
glia.gz	25825			203281822		0.6096
granulocyte.gz	25825			64948545		0.1948
hair_follicle.gz	25825			77185046		0.2315
heart.gz	25825			61617581		0.1848
hepatocyte.gz	25825			129965144		0.3898
hippocampus.gz	25825			86052617		0.2581
hypophysis.gz	25825			120189679		0.3604
hypothalamus.gz	25825			219268609		0.6576
ileum.gz	25825			210173860		0.6303
intestine.gz	25825			63488842		0.1904
jejunum.gz	25825			237822246		0.7132
keratinocyte.gz	25825			90152341		0.2704
kidney.gz	25825			61734061		0.1851
large_intestine.gz	25825			63950548		0.1918
lens.gz	25825			198051627		0.5939
leukocyte.gz	25825			63978035		0.1919
liver.gz	25825			60514070		0.1815
locus_ceruleus.gz	25825			226221240		0.6784
lung.gz	25825			59800373		0.1793
lymph_node.gz	25825			80336272		0.2409
lymphocyte.gz	25825			65248932		0.1957
macrophage.gz	25825			65096160		0.1952
mammary_epithelium.gz	25825			114463367		0.3433
mammary_gland.gz	25825			68009739		0.2040
mast_cell.gz	25825			123282031		0.3697
medulla_oblongata.gz	25825			180265470		0.5406
megakaryocyte.gz	25825			64095019		0.1922
midbrain.gz	25825			93303272		0.2798
monocyte.gz	25825			64628505		0.1938
mononuclear_phagocyte.gz	25825			67537035		0.2025
muscle.gz	25825			68754342		0.2062
myometrium.gz	25825			98037838		0.2940
natural_killer_cell.gz	25825			204673376		0.6138
nephron.gz	25825			74985102		0.2249
nervous_system.gz	25825			74677611		0.2240
neuron.gz	25825			126772375		0.3802
neutrophil.gz	25825			65119633		0.1953
nucleus_accumbens.gz	25825			138780397		0.4162
occipital_lobe.gz	25825			126210213		0.3785
occipital_pole.gz	25825			206069519		0.6180
osteoblast.gz	25825			74322919		0.2229
ovarian_follicle.gz	25825			99609390		0.2987
ovary.gz	25825			64597217		0.1937
oviduct.gz	25825			88926550		0.2667
pancreas.gz	25825			64462325		0.1933
pancreatic_islet.gz	25825			94499963		0.2834
parietal_lobe.gz	25825			255424997		0.7660
peripheral_nervous_system.gz	25825			87609424		0.2627
placenta.gz	25825			61471209		0.1843
podocyte.gz	25825			224170678		0.6723
pons.gz	25825			240804477		0.7222
prostate_gland.gz	25825			66898904		0.2006
renal_glomerulus.gz	25825			90210123		0.2705
renal_tubule.gz	25825			103090624		0.3092
retina.gz	25825			143667076		0.4308
salivary_gland.gz	25825			81630509		0.2448
serum.gz	25825			98862664		0.2965
skeletal_muscle.gz	25825			63244728		0.1897
skin.gz	25825			77477638		0.2323
skin_fibroblast.gz	25825			87918664		0.2637
small_intestine.gz	25825			67707893		0.2031
smooth_muscle.gz	25825			84287834		0.2528
spermatid.gz	25825			105890655		0.3176
spermatocyte.gz	25825			129141110		0.3873
spermatogonium.gz	25825			128963888		0.3868
spinal_cord.gz	25825			73356503		0.2200
spleen.gz	25825			66039964		0.1980
stomach.gz	25825			91927368		0.2757
substantia_nigra.gz	25825			98099756		0.2942
subthalamic_nucleus.gz	25825			85553437		0.2566
t_lymphocyte.gz	25825			67540619		0.2025
tear_gland.gz	25825			118230727		0.3546
telencephalon.gz	25825			88788939		0.2663
temporal_lobe.gz	25825			92400004		0.2771
testis.gz	25825			62101921		0.1862
thalamus.gz	25825			113647425		0.3408
thymocyte.gz	25825			77155462		0.2314
thyroid_gland.gz	25825			83731339		0.2511
tonsil.gz	25825			149124510		0.4472
tooth.gz	25825			90215434		0.2705
trachea.gz	25825			96363948		0.2890
trophoblast.gz	25825			88650713		0.2659
umbilical_cord.gz	25825			71905830		0.2156
umbilical_vein_endothelial_cell.gz	25825			71554985		0.2146
urinary_bladder.gz	25825			215816084		0.6472
uroepithelium.gz	25825			79356533		0.2380
uterine_cervix.gz	25825			89801926		0.2693
uterine_endometrium.gz	25825			77196325		0.2315
uterus.gz	25825			74381016		0.2231
vascular_endothelial_cell.gz	25825			65065702		0.1951
vascular_endothelium.gz	25825			63029513		0.1890
vermiform_appendix.gz	25825			210276675		0.6306
