			Number of Nodes 	Number of edges 	Network Density
adipose_tissue.gz	18145			1789355		0.0109
adrenal_cortex.gz	18846			965478		0.0054
adrenal_gland.gz	13371			187629		0.0021
all_tissues.gz	15606			1726097		0.0142
amygdala.gz	10349			257671		0.0048
aorta.gz	20507			8884510		0.0423
artery.gz	14320			688172		0.0067
astrocyte.gz	20849			40757554		0.1875
b_lymphocyte.gz	11253			666952		0.0105
basal_ganglion.gz	9227			133649		0.0031
basophil.gz	21467			72741661		0.3157
blood.gz	11095			826181		0.0134
blood_plasma.gz	11300			480241		0.0075
blood_platelet.gz	11152			610037		0.0098
blood_vessel.gz	10497			586309		0.0106
bone.gz	12525			770624		0.0098
bone_marrow.gz	9167			337516		0.0080
brain.gz	10317			384614		0.0072
bronchial_epithelial_cell.gz	20576			4077848		0.0193
bronchus.gz	19629			2751191		0.0143
cardiac_muscle.gz	17262			2174875		0.0146
cartilage.gz	17639			1324020		0.0085
caudate_nucleus.gz	10206			284882		0.0055
caudate_putamen.gz	18983			3102265		0.0172
cecum.gz	20814			23111359		0.1067
central_nervous_system.gz	10335			396536		0.0074
cerebellar_cortex.gz	19616			4263582		0.0222
cerebellum.gz	7960			81441		0.0026
cerebral_cortex.gz	8921			101061		0.0025
chondrocyte.gz	19988			4094527		0.0205
choroid.gz	21029			8942793		0.0404
cochlea.gz	21921			135677534		0.5647
colon.gz	7890			196493		0.0063
cornea.gz	15909			1062369		0.0084
corpus_callosum.gz	10460			390714		0.0071
corpus_luteum.gz	21121			5624194		0.0252
corpus_striatum.gz	9701			187023		0.0040
culture_condition_cd8_cell.gz	21111			41317085		0.1854
dendritic_cell.gz	19982			18798458		0.0942
dentate_gyrus.gz	20405			4289276		0.0206
diencephalon.gz	13086			366222		0.0043
duodenum.gz	20186			1630130		0.0080
ear.gz	20954			61954364		0.2822
embryo.gz	10158			364517		0.0071
eosinophil.gz	17164			2376669		0.0161
epidermis.gz	12343			349135		0.0046
esophagus.gz	17738			2095690		0.0133
eye.gz	9668			178343		0.0038
fetus.gz	7867			276668		0.0089
forebrain.gz	9116			100562		0.0024
frontal_lobe.gz	17884			1247627		0.0078
gastrointestinal_tract.gz	7733			200057		0.0067
glia.gz	20608			24175717		0.1139
granulocyte.gz	11128			675664		0.0109
hair_follicle.gz	15151			976124		0.0085
heart.gz	7582			229331		0.0080
hepatocyte.gz	21709			13863382		0.0588
hippocampus.gz	10475			205737		0.0038
hypophysis.gz	18194			934724		0.0056
hypothalamus.gz	21109			18036348		0.0810
ileum.gz	20444			25509391		0.1221
intestine.gz	7707			199292		0.0067
jejunum.gz	20597			39333752		0.1854
keratinocyte.gz	15665			699772		0.0057
kidney.gz	7987			252428		0.0079
large_intestine.gz	8087			182033		0.0056
lens.gz	21277			43211630		0.1909
leukocyte.gz	10724			828629		0.0144
liver.gz	7182			225860		0.0088
locus_ceruleus.gz	21892			74716551		0.3118
lung.gz	8188			303819		0.0091
lymph_node.gz	11008			343854		0.0057
lymphocyte.gz	11063			719300		0.0118
macrophage.gz	11382			700912		0.0108
mammary_epithelium.gz	19716			3771668		0.0194
mammary_gland.gz	10180			306325		0.0059
mast_cell.gz	20324			5821525		0.0282
medulla_oblongata.gz	19486			8488705		0.0447
megakaryocyte.gz	10980			552838		0.0092
midbrain.gz	10625			249993		0.0044
monocyte.gz	10807			652043		0.0112
mononuclear_phagocyte.gz	10917			627803		0.0105
muscle.gz	9097			177052		0.0043
myometrium.gz	20100			4068838		0.0201
natural_killer_cell.gz	20815			19487818		0.0900
nephron.gz	12208			423922		0.0057
nervous_system.gz	10755			438318		0.0076
neuron.gz	20323			4024599		0.0195
neutrophil.gz	12291			633432		0.0084
nucleus_accumbens.gz	21385			6980574		0.0305
occipital_lobe.gz	18369			2130616		0.0126
occipital_pole.gz	20801			26726925		0.1235
osteoblast.gz	17073			1898829		0.0130
ovarian_follicle.gz	20466			3957479		0.0189
ovary.gz	8336			347067		0.0100
oviduct.gz	19686			1461587		0.0075
pancreas.gz	7455			187800		0.0068
pancreatic_islet.gz	20925			2403420		0.0110
parietal_lobe.gz	21747			79678232		0.3370
peripheral_nervous_system.gz	20929			2857931		0.0130
placenta.gz	8058			326869		0.0101
podocyte.gz	21404			49591322		0.2165
pons.gz	21776			65769958		0.2774
prostate_gland.gz	8312			208710		0.0060
renal_glomerulus.gz	16465			760235		0.0056
renal_tubule.gz	18247			2838724		0.0171
retina.gz	16530			374036		0.0027
salivary_gland.gz	15073			386946		0.0034
serum.gz	14576			306332		0.0029
skeletal_muscle.gz	7168			182922		0.0071
skin.gz	9763			296919		0.0062
skin_fibroblast.gz	16240			1087172		0.0082
small_intestine.gz	6857			121239		0.0052
smooth_muscle.gz	14287			1151095		0.0113
spermatid.gz	20463			4474646		0.0214
spermatocyte.gz	20409			9502047		0.0456
spermatogonium.gz	20400			9517448		0.0457
spinal_cord.gz	7656			78906		0.0027
spleen.gz	8639			387133		0.0104
stomach.gz	10658			181963		0.0032
substantia_nigra.gz	10744			243276		0.0042
subthalamic_nucleus.gz	10611			453957		0.0081
t_lymphocyte.gz	10992			562221		0.0093
tear_gland.gz	18260			1275548		0.0077
telencephalon.gz	8695			96743		0.0026
temporal_lobe.gz	9888			155209		0.0032
testis.gz	8120			299959		0.0091
thalamus.gz	12977			475539		0.0056
thymocyte.gz	16081			1812305		0.0140
thyroid_gland.gz	12191			266913		0.0036
tonsil.gz	18820			4465748		0.0252
tooth.gz	18594			2074553		0.0120
trachea.gz	15916			1330981		0.0105
trophoblast.gz	17359			1541412		0.0102
umbilical_cord.gz	11627			682496		0.0101
umbilical_vein_endothelial_cell.gz	14072			1074795		0.0109
urinary_bladder.gz	20947			23405078		0.1067
uroepithelium.gz	21231			1696273		0.0075
uterine_cervix.gz	17810			891142		0.0056
uterine_endometrium.gz	13584			690302		0.0075
uterus.gz	9201			274559		0.0065
vascular_endothelial_cell.gz	11618			782444		0.0116
vascular_endothelium.gz	11122			657145		0.0106
vermiform_appendix.gz	20918			28092133		0.1284
