1	769
2	465
3	218
4	165
5	126
6	63
7	52
8	42
9	20
10	16
11	25
12	11
140	1
13	11
14	8
15	10
16	3
17	8
18	5
146	1
19	6
20	6
21	2
22	7
23	1
24	1
25	5
26	1
28	1
29	1
30	3
31	4
32	4
33	2
34	2
35	1
36	3
39	1
40	1
41	1
171	1
44	2
46	2
50	1
52	1
54	4
59	1
62	2
63	1
64	2
65	1
67	1
197	1
69	1
73	1
75	1
78	1
85	2
342	1
89	1
94	1
96	1
97	1
228	1
231	1
235	1
116	1
122	1
