1	105
2	47
3	38
4	30
5	28
6	36
16390	1
7	27
16391	1
8	35
9	56
10	46
11	49
12	36
13	42
16397	2
14	39
15	40
16	34
17	21
16401	1
18	30
19	20
20	23
21	26
16405	1
22	27
23	33
16408	1
24	28
25	20
26	29
16411	1
27	31
28	32
29	34
30	35
31	32
32	30
33	36
34	40
35	32
36	32
37	26
38	18
39	34
16423	1
40	26
41	27
42	22
43	16
44	20
45	29
16429	1
46	21
16430	1
47	25
16431	1
48	33
49	24
50	27
16434	1
51	36
16435	1
52	22
53	26
54	24
55	19
16439	1
56	32
57	18
58	33
59	22
60	25
61	23
16445	1
16446	1
62	21
16447	1
63	26
16448	2
64	17
65	27
66	29
67	25
68	22
69	19
70	17
71	19
72	23
73	10
74	20
16458	1
75	20
16459	1
16460	2
76	21
77	15
78	10
16462	1
79	13
16463	1
80	12
81	12
16466	1
82	13
83	13
16467	1
84	17
85	14
86	6
16470	2
87	16
88	9
89	20
16474	1
90	10
91	12
16475	1
92	14
16476	1
93	12
16477	1
94	10
95	6
96	15
97	8
98	18
99	11
16483	1
100	11
101	15
102	12
16486	1
103	17
104	12
105	13
106	13
16491	1
107	8
108	7
16493	1
109	10
110	15
111	17
112	10
113	11
114	9
115	12
116	11
117	7
16501	1
118	10
119	6
120	3
16504	1
121	9
122	10
123	11
124	8
16508	1
125	8
16509	1
126	7
127	12
128	5
16512	1
129	10
130	8
131	5
132	13
133	4
134	12
135	9
16520	1
136	5
137	6
16521	1
138	8
16522	1
139	8
140	6
141	6
142	6
143	12
144	5
145	5
16529	1
146	9
147	11
148	7
149	6
150	13
151	6
152	6
153	5
154	7
16539	1
155	3
156	4
16540	1
157	14
158	7
159	10
160	7
16544	1
161	6
162	7
163	3
164	16
165	6
166	6
16550	1
16551	1
167	7
168	10
169	5
16554	1
171	8
172	6
173	3
174	4
175	8
176	8
177	6
178	3
179	7
180	9
16564	1
181	5
182	9
183	15
184	5
16568	1
185	3
16569	1
186	4
187	12
16571	1
188	6
189	5
190	13
16574	1
191	5
192	10
16576	1
193	5
194	7
195	7
196	9
197	9
198	9
199	13
200	8
201	7
202	8
203	6
204	3
16588	1
205	8
206	9
207	8
16591	1
208	5
209	5
16593	1
210	7
211	11
212	6
16596	1
213	7
214	7
215	3
16599	1
216	7
217	5
218	6
219	10
16603	1
220	9
221	9
222	7
223	3
224	5
225	9
226	9
227	6
228	5
229	8
230	5
231	8
232	7
16616	1
233	5
234	6
235	7
16619	1
236	10
237	5
16621	2
238	6
239	5
240	6
241	5
242	2
243	5
244	9
16628	1
245	4
246	13
247	9
248	7
249	6
250	9
251	8
252	5
253	8
254	7
255	9
256	10
257	7
258	10
259	12
260	9
16644	1
261	4
262	4
16646	1
263	5
264	9
265	6
266	6
267	8
268	9
269	6
270	13
271	8
272	9
273	1
274	8
275	7
276	5
16660	1
277	7
278	3
279	2
280	3
281	4
282	9
283	4
284	2
285	9
16669	2
286	5
16670	1
287	8
288	6
289	4
16673	1
290	6
16674	1
16675	1
291	5
292	3
293	4
294	6
295	8
16679	1
296	7
297	4
298	9
299	5
300	7
301	4
302	3
303	6
304	8
305	3
16689	1
306	8
307	6
16691	1
308	6
309	9
310	7
311	5
16695	1
312	3
16696	1
313	8
314	10
315	6
316	8
317	5
318	12
16702	1
319	8
320	3
16704	1
321	6
16705	1
322	7
323	7
16707	1
324	2
16708	1
325	2
16709	2
326	4
327	6
328	4
329	6
16714	2
330	2
331	6
332	3
333	3
334	4
335	8
336	9
337	6
338	6
339	5
340	7
341	4
342	9
16726	1
16727	1
343	10
344	3
345	5
346	7
347	4
348	6
349	8
350	6
351	7
352	5
353	9
354	4
355	4
356	7
357	3
358	7
359	7
16743	1
360	6
16745	1
361	3
362	3
363	3
364	6
16748	1
365	5
366	3
367	12
368	7
16752	1
369	7
370	7
371	6
372	7
373	14
374	9
375	3
376	4
377	5
