1	83
2	42
3	34
4	31
5	32
6	27
7	16
8	31
9	22
10	37
11	30
12	33
13	39
16397	1
14	34
15	31
16	26
17	26
16401	1
18	29
19	23
20	23
21	22
22	21
23	21
16408	1
24	13
25	22
26	24
16411	1
27	20
28	23
29	28
30	23
31	27
32	36
33	17
34	29
35	24
36	24
37	30
38	24
39	18
16423	1
40	35
41	23
42	26
43	28
44	33
45	19
16429	1
46	25
16430	1
47	19
16431	1
48	15
49	17
50	25
16434	1
51	22
52	18
53	18
54	22
55	19
16439	1
56	23
57	20
58	18
16442	1
59	18
60	21
61	28
16445	1
16446	1
62	29
16447	1
63	19
16448	2
64	20
65	21
66	18
67	22
68	13
69	18
70	16
71	15
16455	1
72	19
73	15
74	14
75	18
16459	1
16460	2
76	26
77	22
78	20
16462	1
79	14
16463	1
80	20
81	11
16466	1
82	15
83	19
84	17
85	18
86	18
16470	2
87	17
88	12
89	14
90	11
16474	2
91	15
16475	1
92	17
16476	1
93	20
16477	1
94	9
95	10
96	9
97	8
98	16
99	15
16483	1
100	18
101	15
102	16
103	11
104	11
105	10
106	19
16491	1
107	16
108	10
16492	1
109	11
110	10
111	13
16495	1
112	14
113	11
114	8
115	7
116	7
117	23
16501	1
118	11
119	10
16503	1
120	11
16504	1
121	14
122	10
123	10
124	18
16508	1
125	13
16509	1
126	15
127	11
128	5
16512	1
129	8
130	12
131	8
132	12
133	9
134	8
135	5
16520	1
136	5
137	8
16521	1
138	12
16522	1
139	10
140	6
141	9
142	8
143	9
144	4
145	9
146	4
147	8
16531	1
148	6
149	11
150	10
151	8
152	10
153	9
154	8
16539	1
155	5
156	7
16540	1
157	11
158	5
159	13
160	8
16544	1
161	10
162	15
163	10
164	6
165	5
166	9
16551	1
167	5
168	7
169	4
16554	1
170	11
171	6
172	5
173	6
174	10
175	7
176	5
177	7
178	7
179	7
180	8
16564	1
181	4
182	9
183	8
184	8
16568	2
185	7
16569	1
186	12
187	4
188	6
189	4
190	7
191	4
192	7
16576	1
193	6
194	8
195	5
196	12
197	10
198	8
199	10
200	9
201	4
16586	1
202	8
203	10
204	6
16588	1
205	8
206	6
207	10
208	7
209	7
16593	1
210	11
211	6
16596	1
212	7
213	5
214	5
215	6
16599	1
216	9
217	10
218	2
219	6
16603	1
220	11
221	14
222	6
223	7
224	7
225	14
226	8
227	6
228	5
229	8
230	5
231	8
232	9
16616	1
233	11
234	6
235	9
236	4
237	6
16621	2
238	6
239	10
240	5
241	2
16625	1
242	6
243	10
16628	1
244	9
245	7
246	6
247	8
248	5
249	8
250	7
251	8
252	7
253	6
254	6
255	5
256	7
257	4
258	5
259	8
260	5
16644	1
261	8
262	5
16646	1
263	10
264	8
265	8
266	7
267	6
268	8
269	7
